Comp-FITC_Alexa 488-A :: CD56,Comp-PE-A :: CD11c,Comp-PE-Cy55-A :: CD3,Comp-PE-Cy7-A :: CD45RO,Comp-APC_Ax 647-A :: 2H2,Comp-APC-Ax700-A :: CD4,Comp-APC-H7-A :: CD8,FlowMeans.ClusterID,EventNumberDP
264.554,164.591,232.072,170.325,426.777,-158.947,385.557,50000,393
198.161,144.642,11685.9,866.486,257.315,15157.5,129.453,30000,394
78.8744,74.3549,4872.59,-145.202,294.258,11508.2,-10.5156,40000,397
185.601,117.613,4377.14,-333.712,139.625,9067.5,440.663,40000,398
1243.63,2023.06,232.062,5.47291,275.294,505.646,4320.38,50000,401
140.594,51.6914,12463.4,1731.97,-169.06,1084.23,20013.7,10000,402
1022.34,3178.84,383.831,78.1674,339.129,230.023,354.714,50000,405
7829.48,3018.15,-13.8091,-67.6273,502.254,421.278,229.894,50000,409
503.788,7966.4,880.042,4614.79,2791.67,7588.16,61.2145,50000,414
335.979,141.862,8076.67,7911.03,-603.409,18970.2,-56.3303,40000,418
247.158,262.962,8222.74,82.0387,-128.023,-1377.41,25460.6,10000,421
205.186,71.0391,8783.86,-342.827,476.598,12949.5,-79.0359,40000,422
226.125,133.949,10673.8,13260.5,-1046.7,21995.9,-513.667,20000,425
227.142,119.187,22133.6,-186.662,257.814,16804.2,-524.462,30000,426
142.597,159.551,11127.5,-927.332,387.26,20445.6,108.73,40000,429
307.806,127.365,6996.57,225.889,95.7379,512.186,6608.13,50000,430
2855.05,235.814,69.0176,121.877,489.597,-40.3057,5424.13,50000,433
196.195,115.395,7898.9,2716.8,14.3562,16892.7,206.222,40000,434
204.228,77.5556,12799,1041.93,-206.234,17431.8,176.151,30000,437
138.348,42.2971,15197.7,1114.48,85.2568,17762.4,-110.469,30000,438
176.829,263.35,48.3787,990.272,521.747,601.363,209.787,50000,442
198.439,29.056,9253.98,15715.7,-1595.27,1368.13,25690.2,10000,445
192.068,84.7592,15746,610.479,396.061,15447,41.5322,30000,446
313.301,184.756,8298.08,2533.41,-137.109,17360.2,-459.594,40000,449
162.664,155.507,12640.1,-232.483,577.574,14443.4,-483.7,30000,450
149.982,206.092,3981.59,2193.33,139.761,-1717.89,20859.6,10000,454
399.589,126.06,314.722,750.641,256.415,21241.3,172.928,40000,458
215.204,209.307,6288.67,2729.24,42.2289,9690.41,192.5,40000,461
202.02,149.973,11791.1,1217.2,-159.438,-1877.88,19776,10000,462
117.063,108.7,99.2724,-139.179,456.236,104.952,240.825,50000,465
238.763,196.49,-10.7142,225.005,151.897,957.563,438.119,50000,466
114.495,5.50055,140.881,-116.556,331.502,217.018,302.333,50000,469
224.817,151.274,3717.77,1628.65,-8.93751,301.89,659.134,50000,470
165.874,86.7224,6650.46,645.001,-63.2838,10002.6,-154.748,40000,473
201.467,28.4715,9589.83,709.209,379.9,14642.5,429.834,40000,477
155.009,37.5102,7415.54,74.0893,221.219,16450.9,-3.01746,40000,478
140.319,42.2755,14310.5,-528.135,461.168,17071.8,-203.961,30000,481
183.173,-14.1939,10260,257.467,396.223,18485.2,-572.058,40000,482
348.513,34.3948,472.78,-59.1256,1022.9,6727.35,69.1852,50000,485
1837.8,130.521,20.6523,1.9824,267.162,655.464,1965.84,50000,489
711.814,208.554,986.86,441.51,239.786,46389.3,-156.036,40000,490
91.7195,45.0957,313.235,23.449,362.111,106.922,786.705,50000,493
194.205,160.958,5695.15,43.2332,603.9,20870.1,-276.065,40000,494
162.965,39.8239,11933.4,31.0847,-174.756,17547.2,634.28,30000,497
245.159,219.7,32766.8,14784.1,-947.443,18607,-645.463,30000,498
210.765,196.876,13758.5,2994.58,-119.578,14671.9,528.777,30000,506
149.412,57.7041,10230.5,303.353,93.5507,17172.2,-104.999,40000,509
1399.57,19467.4,5.0306,2327.21,558.893,3920.13,491.237,50000,510
302.454,286.854,14136.1,4874.75,-926.26,-14.5585,15967.3,10000,513
279.486,155.924,10576,1273.45,302.457,-352.31,24230.4,10000,514
273.664,85.3278,12415.6,14452,-467.27,14937.6,-149.876,20000,517
55.3848,127.939,7489.34,22.1192,0.780837,71.4345,15655.4,10000,518
388.47,617.363,22569.9,1729.93,358.018,-667.42,-233.418,30000,525
148.021,153.605,13149,545.405,-99.0564,18439.2,565.553,30000,526
378.192,90.6819,431.304,334.03,585.394,33593.1,-405.679,40000,529
197.198,263.765,18911.4,-979.736,243.276,16851.7,197.616,30000,530
44.2199,170.219,8608.5,796.094,112.251,16306.6,-585.185,40000,533
203.453,129.691,253.558,78.8803,140.586,683.441,788.926,50000,534
204.718,217.751,16825.9,12133.4,-516.964,24462.5,-1334.77,20000,537
138.831,107.312,5268.22,2408.59,99.2676,16015.1,-207.659,40000,538
182.73,74.1978,13585.4,808.614,41.6438,10119.2,218.629,30000,541
191.328,96.6063,8803.54,4429.14,-644.98,1284.95,366.724,40000,545
565.068,78.3598,12730.7,8513.22,-568.807,-1333.42,10547,10000,546
285.782,87.0889,6929.7,848.562,93.7665,230.759,15272.5,10000,549
205.13,65.0807,11018.1,91.3046,-277.638,2578.43,22531.6,10000,553
250.095,37.5909,6095.43,-467.661,208.413,16445.1,241.423,40000,554
168.757,281.855,7443.56,7331.28,-21.5631,15618.9,-33.4459,40000,557
232.849,215.802,19155,2107.42,-16.3746,-3504.05,32854.4,10000,558
401.484,93.9223,4390.35,5898.41,-216.113,25560.5,-271.564,40000,561
978.543,1418.03,-145.864,43.7579,630.607,-297.641,-56.7398,50000,562
217.014,92.5713,9999.12,421.626,190.059,15986.8,-28.0786,40000,565
125.792,49.563,62.8388,-135.502,322.409,410.813,-103.54,50000,569
1219.14,591.378,-15.9776,193.125,51.9798,554.684,351.793,50000,570
174.145,139.559,7878.97,547.548,230.002,18014.8,109.964,40000,573
184.443,195.632,10805.8,-365.715,90.4016,14904.2,317.997,40000,574
141.605,143.011,3108.5,2926.69,545.116,-722.915,-28.2291,50000,577
210.12,124.636,14809.2,1397.25,179.66,17193.8,-116.301,30000,578
147.413,181.085,10027.4,5500.28,-78.7302,15433.9,-574.625,40000,581
211.696,55.4577,11194.2,195.364,304.01,9956.37,435.201,40000,582
174.927,204.162,7987.15,2127.48,-217.885,18387.9,-762.435,40000,589
91.269,93.2227,7401.78,83.7299,-50.2154,-477.18,12764.2,10000,594
940.411,3689.38,369.23,39.7137,301.05,184.776,682.537,50000,601
194.536,113.635,10919.4,3754.87,-45.1879,2246.23,22461.6,10000,602
302.408,196.75,12350.2,376.471,-26.7202,2475.93,26098.1,10000,613
232.283,86.7435,11873.5,-14.5285,26.268,15258.4,-368.539,30000,617
210.833,70.7596,9846.71,534.024,-109.206,-13.3196,16036,10000,621
80.382,180.887,12124.2,535.269,-53.1463,19016.8,255.14,30000,625
136.727,184.713,196.413,153.876,673.707,9649.71,576.35,50000,626
