"Comp-FITC_Alexa 488-A :: CD56","Comp-PE-A :: CD11c","Comp-PE-Cy55-A :: CD3","Comp-PE-Cy7-A :: CD45RO","Comp-APC_Ax 647-A :: 2H2","Comp-APC-Ax700-A :: CD4","Comp-APC-H7-A :: CD8","EventNumberDP"
239.233,182.289,12338,170.633,-136.468,8888.74,968.216,409
252.525,57.4134,13655.8,-722.113,-95.5735,-1098.43,18976.2,410
108.943,140.265,10772.8,46.3514,-118.072,-424.821,18456.6,416
326.426,159.738,5301.7,14903.5,-994.977,27102.4,60.5015,421
297.245,142.48,20312.2,13635.5,-739.438,20358.9,-1292.31,422
82.996,131.107,11587.9,480.448,716.283,19476.9,-65.1641,427
239.625,141.608,8456.3,330.7,268.378,10256.2,222.048,428
447.842,260.583,401.478,146.834,632,23296,452.147,433
200.81,13.1,7837.04,211.073,-109.802,10814.9,146.525,434
403.657,139.449,9097.88,5178.82,-130.162,20695.8,-151.245,439
78.7662,90.8763,8769.43,1162.08,-150.119,16628,-120.241,440
253.116,194.605,122.308,182.798,436.425,-41.3035,986.254,445
253.057,124.436,7465.64,9282.48,234.81,18411.3,-801.862,446
189.407,81.0354,9680.85,-246.598,292.056,15746.8,-508.895,451
219.943,-39.9479,10733.8,216.743,225.997,20385.9,-887.019,452
413.525,353.845,16671.3,13030.7,-971.123,27153.9,-941.778,457
258.484,107.104,16594.9,-655.782,67.0607,18683.5,264.513,458
295.7,414.968,10194.5,19777.6,-644.764,22479.2,-953.386,464
223.149,61.4101,198.553,-98.6982,336.023,-203.168,-127.914,469
144.713,29.6513,7403.25,858.872,59.4543,13937.5,340.744,470
247.425,152.174,6369.13,539.123,-218.4,1979.64,23977.3,475
331.12,195.987,8332.96,17353.4,-765.263,26797.8,-584.16,476
194.449,45.6025,11599.1,-72.5047,223.312,-1230.03,15967.4,482
134.725,66.6802,6771.47,278.76,344.872,15723.8,122.816,487
261.102,241.735,15991.7,21933.7,-1460.79,29081.1,-334.212,488
411.306,179.623,162.367,-56.2075,430.374,3401.86,603.1,493
98.7328,68.3885,14313.4,-181.934,103.026,15056,1009.37,494
386.813,514.5,368.16,1557.06,189.325,6397.95,1316.25,500
274.692,150.829,9662.3,13364.4,-98.8081,22475.8,264.731,505
166.6,110.757,7625.87,3862.08,155.451,15521,187.317,511
304.381,188.595,15651.7,956.083,-119.229,1515.92,22825.2,512
197.145,150.559,646.905,-3.64099,378.421,77.4005,1127.21,517
185.724,-48.8579,5870.86,966.38,274.983,8101.68,381.065,518
202.961,196.844,6242.43,10990,-806.439,13179.3,-362.274,523
189.939,43.6965,130.713,13.4906,226.034,1542.02,361.392,524
333.16,395.191,8200.86,19854.3,-1144.76,25736.6,-3.44753,529
74.2681,208.908,8591.03,11389.9,-453.601,10423.7,-854.966,530
2708.97,5342.38,206.431,-164.704,338.729,664.594,3845.7,535
